kc_type,experiment_id,motion_folder,motion_index,motion_name,file_type,path,sampling_frequency,n_samples,duration_sec
arm,exp01,motion01_canonical,motion01,canonical,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,142.0
arm,exp01,motion01_canonical,motion01,canonical,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,40.0,5680,142.0
arm,exp01,motion01_canonical,motion01,canonical,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_omc.csv,30.0,4260,142.0
arm,exp01,motion02_pause1,motion02,pause1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_nonrigid.csv,40.0,360,9.0
arm,exp01,motion02_pause1,motion02,pause1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_rigid.csv,40.0,360,9.0
arm,exp01,motion02_pause1,motion02,pause1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_omc.csv,30.0,270,9.0
arm,exp01,motion03_slow1,motion03,slow1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_nonrigid.csv,40.0,1600,40.0
arm,exp01,motion03_slow1,motion03,slow1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_rigid.csv,40.0,1600,40.0
arm,exp01,motion03_slow1,motion03,slow1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_omc.csv,30.0,1200,40.0
arm,exp01,motion04_pause2,motion04,pause2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_nonrigid.csv,40.0,240,6.0
arm,exp01,motion04_pause2,motion04,pause2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_rigid.csv,40.0,240,6.0
arm,exp01,motion04_pause2,motion04,pause2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_omc.csv,30.0,180,6.0
arm,exp01,motion05_fast,motion05,fast,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_nonrigid.csv,40.0,1720,43.0
arm,exp01,motion05_fast,motion05,fast,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_rigid.csv,40.0,1720,43.0
arm,exp01,motion05_fast,motion05,fast,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_omc.csv,30.0,1290,43.0
arm,exp01,motion06_pause3,motion06,pause3,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_nonrigid.csv,40.0,280,7.0
arm,exp01,motion06_pause3,motion06,pause3,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_rigid.csv,40.0,280,7.0
arm,exp01,motion06_pause3,motion06,pause3,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_omc.csv,30.0,210,7.0
arm,exp01,motion07_fast_slow_fast,motion07,fast_slow_fast,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_nonrigid.csv,40.0,1400,35.0
arm,exp01,motion07_fast_slow_fast,motion07,fast_slow_fast,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_rigid.csv,40.0,1400,35.0
arm,exp01,motion07_fast_slow_fast,motion07,fast_slow_fast,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_omc.csv,30.0,1050,35.0
arm,exp01,motion08_freeze1,motion08,freeze1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_nonrigid.csv,40.0,80,2.0
arm,exp01,motion08_freeze1,motion08,freeze1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_rigid.csv,40.0,80,2.0
arm,exp01,motion08_freeze1,motion08,freeze1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_omc.csv,30.0,60,2.0
arm,exp01,motion09_fast_slow,motion09,fast_slow,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_nonrigid.csv,40.0,880,22.0
arm,exp01,motion09_fast_slow,motion09,fast_slow,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_rigid.csv,40.0,880,22.0
arm,exp01,motion09_fast_slow,motion09,fast_slow,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_omc.csv,30.0,660,22.0
arm,exp01,motion10_freeze2,motion10,freeze2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_nonrigid.csv,40.0,120,3.0
arm,exp01,motion10_freeze2,motion10,freeze2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_rigid.csv,40.0,120,3.0
arm,exp01,motion10_freeze2,motion10,freeze2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_omc.csv,30.0,90,3.0
arm,exp01,motion11_slow2,motion11,slow2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion11_slow2\exp01_motion11_imu_nonrigid.csv,40.0,640,16.0
arm,exp01,motion11_slow2,motion11,slow2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion11_slow2\exp01_motion11_imu_rigid.csv,40.0,640,16.0
arm,exp01,motion11_slow2,motion11,slow2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion11_slow2\exp01_motion11_omc.csv,30.0,480,16.0
arm,exp01,motion12_shaking,motion12,shaking,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion12_shaking\exp01_motion12_imu_nonrigid.csv,40.0,720,18.0
arm,exp01,motion12_shaking,motion12,shaking,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion12_shaking\exp01_motion12_imu_rigid.csv,40.0,720,18.0
arm,exp01,motion12_shaking,motion12,shaking,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion12_shaking\exp01_motion12_omc.csv,30.0,540,18.0
arm,exp01,motion13_pause4,motion13,pause4,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion13_pause4\exp01_motion13_imu_nonrigid.csv,40.0,1000,25.0
arm,exp01,motion13_pause4,motion13,pause4,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion13_pause4\exp01_motion13_imu_rigid.csv,40.0,1000,25.0
arm,exp01,motion13_pause4,motion13,pause4,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion13_pause4\exp01_motion13_omc.csv,30.0,750,25.0
arm,exp02,motion01_canonical1,motion01,canonical1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion01_canonical1\exp02_motion01_imu_nonrigid.csv,40.0,4120,103.0
arm,exp02,motion01_canonical1,motion01,canonical1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion01_canonical1\exp02_motion01_imu_rigid.csv,40.0,4120,103.0
arm,exp02,motion01_canonical1,motion01,canonical1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion01_canonical1\exp02_motion01_omc.csv,30.0,3090,103.0
arm,exp02,motion02_pause1,motion02,pause1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion02_pause1\exp02_motion02_imu_nonrigid.csv,40.0,210,5.25
arm,exp02,motion02_pause1,motion02,pause1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion02_pause1\exp02_motion02_imu_rigid.csv,40.0,210,5.25
arm,exp02,motion02_pause1,motion02,pause1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion02_pause1\exp02_motion02_omc.csv,30.0,157,5.233333333333333
arm,exp02,motion03_slow_fast_mix,motion03,slow_fast_mix,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion03_slow_fast_mix\exp02_motion03_imu_nonrigid.csv,40.0,2650,66.25
arm,exp02,motion03_slow_fast_mix,motion03,slow_fast_mix,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion03_slow_fast_mix\exp02_motion03_imu_rigid.csv,40.0,2650,66.25
arm,exp02,motion03_slow_fast_mix,motion03,slow_fast_mix,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion03_slow_fast_mix\exp02_motion03_omc.csv,30.0,1988,66.26666666666667
arm,exp02,motion04_pause2,motion04,pause2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion04_pause2\exp02_motion04_imu_nonrigid.csv,40.0,240,6.0
arm,exp02,motion04_pause2,motion04,pause2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion04_pause2\exp02_motion04_imu_rigid.csv,40.0,240,6.0
arm,exp02,motion04_pause2,motion04,pause2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion04_pause2\exp02_motion04_omc.csv,30.0,180,6.0
arm,exp02,motion05_canonical2,motion05,canonical2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion05_canonical2\exp02_motion05_imu_nonrigid.csv,40.0,3620,90.5
arm,exp02,motion05_canonical2,motion05,canonical2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion05_canonical2\exp02_motion05_imu_rigid.csv,40.0,3620,90.5
arm,exp02,motion05_canonical2,motion05,canonical2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion05_canonical2\exp02_motion05_omc.csv,30.0,2715,90.5
arm,exp02,motion06_pause3,motion06,pause3,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion06_pause3\exp02_motion06_imu_nonrigid.csv,40.0,200,5.0
arm,exp02,motion06_pause3,motion06,pause3,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion06_pause3\exp02_motion06_imu_rigid.csv,40.0,200,5.0
arm,exp02,motion06_pause3,motion06,pause3,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion06_pause3\exp02_motion06_omc.csv,30.0,150,5.0
arm,exp02,motion07_slow_fast_freeze_mix,motion07,slow_fast_freeze_mix,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion07_slow_fast_freeze_mix\exp02_motion07_imu_nonrigid.csv,40.0,2720,68.0
arm,exp02,motion07_slow_fast_freeze_mix,motion07,slow_fast_freeze_mix,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion07_slow_fast_freeze_mix\exp02_motion07_imu_rigid.csv,40.0,2720,68.0
arm,exp02,motion07_slow_fast_freeze_mix,motion07,slow_fast_freeze_mix,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion07_slow_fast_freeze_mix\exp02_motion07_omc.csv,30.0,2040,68.0
arm,exp02,motion08_pause4,motion08,pause4,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion08_pause4\exp02_motion08_imu_nonrigid.csv,40.0,238,5.95
arm,exp02,motion08_pause4,motion08,pause4,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion08_pause4\exp02_motion08_imu_rigid.csv,40.0,238,5.95
arm,exp02,motion08_pause4,motion08,pause4,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion08_pause4\exp02_motion08_omc.csv,30.0,178,5.933333333333334
arm,exp03,motion01_slow1,motion01,slow1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion01_slow1\exp03_motion01_imu_nonrigid.csv,40.0,600,15.0
arm,exp03,motion01_slow1,motion01,slow1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion01_slow1\exp03_motion01_imu_rigid.csv,40.0,600,15.0
arm,exp03,motion01_slow1,motion01,slow1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion01_slow1\exp03_motion01_omc.csv,30.0,450,15.0
arm,exp03,motion02_dangle1,motion02,dangle1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion02_dangle1\exp03_motion02_imu_nonrigid.csv,40.0,1210,30.25
arm,exp03,motion02_dangle1,motion02,dangle1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion02_dangle1\exp03_motion02_imu_rigid.csv,40.0,1210,30.25
arm,exp03,motion02_dangle1,motion02,dangle1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion02_dangle1\exp03_motion02_omc.csv,30.0,907,30.233333333333334
arm,exp03,motion03_pause1,motion03,pause1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion03_pause1\exp03_motion03_imu_nonrigid.csv,40.0,90,2.25
arm,exp03,motion03_pause1,motion03,pause1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion03_pause1\exp03_motion03_imu_rigid.csv,40.0,90,2.25
arm,exp03,motion03_pause1,motion03,pause1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion03_pause1\exp03_motion03_omc.csv,30.0,68,2.2666666666666666
arm,exp03,motion04_dangle2,motion04,dangle2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion04_dangle2\exp03_motion04_imu_nonrigid.csv,40.0,2900,72.5
arm,exp03,motion04_dangle2,motion04,dangle2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion04_dangle2\exp03_motion04_imu_rigid.csv,40.0,2900,72.5
arm,exp03,motion04_dangle2,motion04,dangle2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion04_dangle2\exp03_motion04_omc.csv,30.0,2175,72.5
arm,exp03,motion05_pause2,motion05,pause2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion05_pause2\exp03_motion05_imu_nonrigid.csv,40.0,950,23.75
arm,exp03,motion05_pause2,motion05,pause2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion05_pause2\exp03_motion05_imu_rigid.csv,40.0,950,23.75
arm,exp03,motion05_pause2,motion05,pause2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion05_pause2\exp03_motion05_omc.csv,30.0,712,23.733333333333334
arm,exp03,motion06_slow2,motion06,slow2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion06_slow2\exp03_motion06_imu_nonrigid.csv,40.0,650,16.25
arm,exp03,motion06_slow2,motion06,slow2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion06_slow2\exp03_motion06_imu_rigid.csv,40.0,650,16.25
arm,exp03,motion06_slow2,motion06,slow2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion06_slow2\exp03_motion06_omc.csv,30.0,488,16.266666666666666
arm,exp03,motion07_dangle3,motion07,dangle3,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion07_dangle3\exp03_motion07_imu_nonrigid.csv,40.0,1100,27.5
arm,exp03,motion07_dangle3,motion07,dangle3,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion07_dangle3\exp03_motion07_imu_rigid.csv,40.0,1100,27.5
arm,exp03,motion07_dangle3,motion07,dangle3,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion07_dangle3\exp03_motion07_omc.csv,30.0,825,27.5
arm,exp03,motion08_pause3,motion08,pause3,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion08_pause3\exp03_motion08_imu_nonrigid.csv,40.0,250,6.25
arm,exp03,motion08_pause3,motion08,pause3,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion08_pause3\exp03_motion08_imu_rigid.csv,40.0,250,6.25
arm,exp03,motion08_pause3,motion08,pause3,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion08_pause3\exp03_motion08_omc.csv,30.0,187,6.233333333333333
arm,exp03,motion09_dangle4,motion09,dangle4,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion09_dangle4\exp03_motion09_imu_nonrigid.csv,40.0,2900,72.5
